"pair_id","pair_label","source_group","family","subfamily","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Coleoptera","Staphylinidae","Pselaphinae",1,1,1,1,64.5,0,64.5,64.5,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Staphylinidae","Staphylininae",1,1,1,1,19.62,100.4,120.02,120.02,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Tenebrionidae","Alleculinae",1,1,1,1,60.2,18.7,78.9,78.9,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Tenebrionidae","Blaptinae",3,3,3,1,117.05,109.5,196.2,229.32,0,0.333333333333333
"ZBJ_ART","ZBJ-Art","Coleoptera","Tenebrionidae","Diaperinae",1,1,1,1,107.7,6.95,114.65,114.65,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Tenebrionidae","Lagriinae",1,1,1,1,89.55,37.05,126.6,126.6,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Tenebrionidae","Pimeliinae",2,2,2,1,168.625,56.225,224.85,329.01,0,0.5
"ZBJ_ART","ZBJ-Art","Coleoptera","Tenebrionidae","Stenochiinae",1,1,1,1,77.9,30.1,108,108,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Tenebrionidae","Tenebrioninae",4,2,4,1,52.1,30.1,82.2,204.21,0,0.25
"ZBJ_ART","ZBJ-Art","Coleoptera","Tetratomidae","Penthinae",1,1,1,1,84.9,199.9,284.8,284.8,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Tetratomidae","Tetratominae",1,1,1,1,108.75,176.75,285.5,285.5,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Dicyrtomidae","Dicyrtominae",2,2,2,1,205.475,109.025,314.5,366.22,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Entomobryidae","Entomobryinae",3,3,3,1,108.9,130.3,239.2,334.24,0,0.333333333333333
"ZBJ_ART","ZBJ-Art","Collembola","Entomobryidae","Heteromurinae",1,1,1,1,282,312.05,594.05,594.05,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Entomobryidae","Lepidocyrtinae",2,2,2,1,223.025,290.36,513.385,549.717,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Entomobryidae","Seirinae",5,4,5,1,78.65,107.35,183.3,238.5,0,0.2
"ZBJ_ART","ZBJ-Art","Collembola","Isotomidae","Anurophorinae",3,2,3,1,138.59,153.6,231,364.64,0,0.666666666666667
"ZBJ_ART","ZBJ-Art","Collembola","Isotomidae","Isotominae",5,5,5,1,150.2,95.65,207.8,405.118,0,0.8
"ZBJ_ART","ZBJ-Art","Collembola","Isotomidae","Proisotominae",5,3,5,1,94.05,142.05,258.65,420.582,0,0.8
"ZBJ_ART","ZBJ-Art","Collembola","Neanuridae","Frieseinae",3,3,3,1,297.5,187.15,461.55,508.51,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Neanuridae","Neanurinae",5,4,5,1,268.75,218.05,464.77,829.968,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Neanuridae","Pseudachorutinae",3,3,3,1,245.9,121.45,392.44,455.888,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Neanuridae","Uchidanurinae",1,1,1,1,109.34,103.05,212.39,212.39,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Onychiuridae","Onychiurinae",3,3,3,1,378.1,100.4,478.5,760.46,0,0.666666666666667
"ZBJ_ART","ZBJ-Art","Collembola","Onychiuridae","Tetrodontophorinae",1,1,1,1,467.7,10.75,478.45,478.45,0,1
"ZBJ_ART","ZBJ-Art","Collembola","Orchesellidae","Orchesellinae",3,3,3,1,170.6,203,373.6,485.56,0,0.666666666666667
"ZBJ_ART","ZBJ-Art","Collembola","Tullbergiidae","Tullbergiinae",2,2,2,1,676.04,175.125,851.165,1064.065,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Andrenidae","Andreninae",1,1,1,1,609.95,59.05,669,669,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Apidae","Apinae",67,13,67,1,831.34,62.2,893.54,909.91,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Bethylidae","Scleroderminae",1,1,1,1,111.9,51.3,163.2,163.2,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Braconidae","Aphidiinae",1,1,1,1,6.95,5.1,12.05,12.05,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Braconidae","Braconinae",1,1,1,1,249.75,180,429.75,429.75,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Braconidae","Cheloninae",1,1,1,1,29.35,270.2,299.55,299.55,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Braconidae","Doryctinae",1,1,1,1,400.7,105.5,506.2,506.2,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Braconidae","Meteorinae",1,1,1,1,269.1,176.25,445.35,445.35,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Braconidae","Microgastrinae",3,3,3,1,107.35,174.9,282.25,282.25,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Braconidae","Opiinae",1,1,1,1,272.2,50.2,322.4,322.4,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Chalcididae","Haltichellinae",1,1,1,1,39.7,338.22,377.92,377.92,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Colletidae","Colletinae",1,1,1,1,517.35,174.9,692.25,692.25,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Crabronidae","Philanthinae",1,1,1,1,308.35,66.05,374.4,374.4,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Cynipidae","Cynipinae",7,7,7,1,129.75,79.8,227.55,710.9,0,0.428571428571429
"ZBJ_ART","ZBJ-Art","Hymenoptera","Diprionidae","Diprioninae",4,4,4,1,262.225,78.15,362.075,434.69,0,0.25
"ZBJ_ART","ZBJ-Art","Hymenoptera","Encyrtidae","Encyrtinae",6,6,6,1,46.85,213.71,265.9,322.22,0,0.833333333333333
"ZBJ_ART","ZBJ-Art","Hymenoptera","Encyrtidae","Tetracneminae",1,1,1,1,231.45,104.5,335.95,335.95,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Eulophidae","Tetrastichinae",1,1,1,1,42.15,224.1,266.25,266.25,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Eupelmidae","Eupelminae",1,1,1,1,10.15,191.42,201.57,201.57,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Eurytomidae","Eurytominae",1,1,1,1,84.05,72.1,156.15,156.15,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Figitidae","Eucoilinae",1,1,1,1,179.85,223.42,403.27,403.27,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Formicidae","Dolichoderinae",4,3,4,1,526.075,166.82,692.895,826.494,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Formicidae","Formicinae",6,4,6,1,659.5,125.525,835.5,983.95,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Formicidae","Myrmicinae",14,14,14,1,696.275,132.1,844.07,1029.526,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Formicidae","Paraponerinae",1,1,1,1,799,147.3,946.3,946.3,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Formicidae","Ponerinae",2,2,2,1,745.675,164.9,910.575,966.955,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Formicidae","Pseudomyrmecinae",2,2,2,1,748.665,123.5,872.165,877.193,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Ichneumonidae","Agriotypinae",1,1,1,1,59.45,111.95,171.4,171.4,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Ichneumonidae","Pimplinae",1,1,1,1,83.5,169.8,253.3,253.3,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Megachilidae","Megachilinae",1,1,1,1,638.65,119.6,758.25,758.25,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Pamphiliidae","Cephalciinae",1,1,0,0,,273.07,,,,
"ZBJ_ART","ZBJ-Art","Hymenoptera","Pteromalidae","Pteromalinae",2,1,2,1,77.8,52.425,130.225,132.805,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Scelionidae","Telenominae",1,1,1,1,453.8,18.15,471.95,471.95,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Tenthredinidae","Allantinae",4,4,4,1,27.475,45.025,60.35,119.55,0,0.25
"ZBJ_ART","ZBJ-Art","Hymenoptera","Tenthredinidae","Heterarthrinae",4,4,4,1,43.125,80.4,116,157.57,0,0.25
"ZBJ_ART","ZBJ-Art","Hymenoptera","Tenthredinidae","Hoplocampinae",1,1,0,0,,0,,,,
"ZBJ_ART","ZBJ-Art","Hymenoptera","Tenthredinidae","Nematinae",3,3,2,0.666666666666667,182.975,48.25,209.65,227.41,0,0.5
"ZBJ_ART","ZBJ-Art","Hymenoptera","Tenthredinidae","Selandriinae",4,3,4,1,86.36,8.325,101.81,170.32,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Tenthredinidae","Tenthredininae",6,6,5,0.833333333333333,42.2,0,42.2,201.48,0,0.2
"ZBJ_ART","ZBJ-Art","Hymenoptera","Vespidae","Eumeninae",1,1,1,1,220.85,70.9,291.75,291.75,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Vespidae","Polistinae",5,5,5,1,54.5,105.5,135.6,263.37,0,0.4
"ZBJ_ART","ZBJ-Art","Hymenoptera","Vespidae","Stenogastrinae",1,1,1,1,77.9,174.9,252.8,252.8,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Vespidae","Vespinae",6,5,6,1,510.2,74.75,609.7,666.4,0,1
"ZBJ_ART","ZBJ-Art","Lepidoptera","Bombycidae","Bombycinae",66,3,66,1,0,0,0,0,0.984848484848485,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Cosmopterigidae","Antequerinae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Cossidae","Zeuzerinae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Crambidae","Crambinae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Crambidae","Pyraustinae",3,3,3,1,0,6.95,25.95,141.03,0,0.333333333333333
"ZBJ_ART","ZBJ-Art","Lepidoptera","Crambidae","Spilomelinae",5,5,5,1,22.4,5.1,27.5,46.48,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Erebidae","Aganainae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Erebidae","Calpinae",2,2,2,1,10.775,26.675,37.45,63.33,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Erebidae","Erebinae",4,4,4,1,9.225,152.45,161.675,211.49,0,0.75
"ZBJ_ART","ZBJ-Art","Lepidoptera","Erebidae","Scoliopteryginae",1,1,1,1,0,6.45,6.45,6.45,0,0
