"pair_id","pair_label","source_group","family","genus","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Basiprionota",1,1,1,1,55.9,6.95,62.85,62.85,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Brontispa",1,1,1,1,103.05,52.6,155.65,155.65,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Bruchidius",1,1,1,1,22.75,218.05,240.8,240.8,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Chaetocnema",1,1,1,1,85.8,103.05,188.85,188.85,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Chrysodinopsis",1,1,1,1,3.55,224.5,228.05,228.05,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Downesia",1,1,0,0,,30.1,,,,
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Glyphocassis",1,1,1,1,22,169.8,191.8,191.8,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Macroplea",1,1,1,1,61.4,39.55,100.95,100.95,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Mimastra",1,1,1,1,4.3,11.75,16.05,16.05,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Monolepta",1,1,1,1,34.4,0,34.4,34.4,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Oomorphoides",1,1,1,1,41.85,77.9,119.75,119.75,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Phyllobrotica",1,1,1,1,50.2,316.32,366.52,366.52,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Spilopyra",1,1,1,1,195.4,118.6,314,314,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Chrysomelidae","Taophila",1,1,1,1,141.94,37.05,178.99,178.99,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Cleridae","Callimerus",1,1,1,1,3.1,48.25,51.35,51.35,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Cleridae","Clerus",1,1,1,1,149.85,98.3,248.15,248.15,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Cleridae","Pieleus",1,1,1,1,81.4,63.6,145,145,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Cleridae","Stigmatium",1,1,1,1,183.15,0,183.15,183.15,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Coccinellidae","Cheilomenes",1,1,1,1,197.05,142.77,339.82,339.82,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Coccinellidae","Henosepilachna",1,1,1,1,286.75,107.35,394.1,394.1,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Coccinellidae","Illeis",1,1,1,1,317.15,131.02,448.17,448.17,0,1
