"pair_id","pair_label","source_group","family","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Hymenoptera","Eurytomidae",1,1,1,1,84.05,72.1,156.15,156.15,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Figitidae",1,1,1,1,179.85,223.42,403.27,403.27,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Formicidae",29,26,29,1,696.6,147.3,840.1,996.06,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Ibaliidae",1,1,1,1,12.55,114.82,127.37,127.37,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Ichneumonidae",2,2,2,1,71.475,140.875,212.35,245.11,0,0.5
"ZBJ_ART","ZBJ-Art","Hymenoptera","Megachilidae",1,1,1,1,638.65,119.6,758.25,758.25,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Pamphiliidae",1,1,0,0,,273.07,,,,
"ZBJ_ART","ZBJ-Art","Hymenoptera","Pelecinidae",1,1,1,1,101.4,61.75,163.15,163.15,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Pteromalidae",2,1,2,1,77.8,52.425,130.225,132.805,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Scelionidae",1,1,1,1,453.8,18.15,471.95,471.95,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Tenthredinidae",22,21,19,0.863636363636364,51.75,11.65,114.4,194.7,0,0.210526315789474
"ZBJ_ART","ZBJ-Art","Hymenoptera","Trichogrammatidae",1,1,1,1,53.9,139.2,193.1,193.1,0,1
"ZBJ_ART","ZBJ-Art","Hymenoptera","Trigonalidae",1,1,1,1,108.9,79.45,188.35,188.35,0,0
"ZBJ_ART","ZBJ-Art","Hymenoptera","Vespidae",13,12,13,1,220.85,85.4,291.75,659.81,0,0.692307692307692
"ZBJ_ART","ZBJ-Art","Lepidoptera","Adelidae",1,1,1,1,142.4,100.4,242.8,242.8,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Bombycidae",66,3,66,1,0,0,0,0,0.984848484848485,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Callidulidae",1,1,1,1,50.2,128.07,178.27,178.27,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Cosmopterigidae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Cossidae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Crambidae",9,9,9,1,22.4,5.1,25.95,74.1199999999999,0.111111111111111,0.111111111111111
"ZBJ_ART","ZBJ-Art","Lepidoptera","Endromidae",3,3,3,1,0,5.1,5.1,73.02,0,0.333333333333333
"ZBJ_ART","ZBJ-Art","Lepidoptera","Epipyropidae",1,1,1,1,34.15,39.55,73.7,73.7,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Erebidae",8,8,8,1,0,74.325,85.1,198.21,0.125,0.375
"ZBJ_ART","ZBJ-Art","Lepidoptera","Gelechiidae",4,4,4,1,9.225,0,9.225,27.494,0.5,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Geometridae",4,4,4,1,10.775,15.05,80.3,181.775,0,0.25
"ZBJ_ART","ZBJ-Art","Lepidoptera","Hepialidae",1,1,1,1,0,176.75,176.75,176.75,0,1
"ZBJ_ART","ZBJ-Art","Lepidoptera","Hesperiidae",8,8,8,1,0,12.55,19.775,37.45,0.125,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Lasiocampidae",1,1,1,1,3.55,0,3.55,3.55,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Limacodidae",2,2,2,1,0,5.875,5.875,10.575,0.5,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Lycaenidae",3,3,3,1,0,0,0,80.32,0.666666666666667,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Noctuidae",49,10,49,1,0,18.15,18.15,35.27,0.0408163265306122,0.0408163265306122
"ZBJ_ART","ZBJ-Art","Lepidoptera","Notodontidae",2,2,2,1,0,6.025,6.025,10.845,0.5,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Nymphalidae",27,26,27,1,3.1,6.95,27.5,110.17,0.0740740740740741,0.111111111111111
"ZBJ_ART","ZBJ-Art","Lepidoptera","Papilionidae",11,11,11,1,3.1,5.1,14.65,50.2,0.0909090909090909,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Pieridae",8,5,8,1,50.2,11.8,52.01,102.069,0,0.125
"ZBJ_ART","ZBJ-Art","Lepidoptera","Plutellidae",1,1,1,1,266.32,90,356.32,356.32,0,1
"ZBJ_ART","ZBJ-Art","Lepidoptera","Psychidae",1,1,1,1,169.8,47.8,217.6,217.6,0,1
"ZBJ_ART","ZBJ-Art","Lepidoptera","Pyralidae",2,2,2,1,32.21,25.1,57.31,69.542,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Saturniidae",3,3,3,1,18.45,6.45,28.85,106.01,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Scythrididae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Sphingidae",7,7,7,1,0,23.3,23.3,84.9,0.428571428571429,0.285714285714286
"ZBJ_ART","ZBJ-Art","Lepidoptera","Tortricidae",13,7,13,1,3.1,0,3.1,101.21,0.307692307692308,0.0769230769230769
"ZBJ_ART","ZBJ-Art","Lepidoptera","Zygaenidae",2,2,2,1,15.65,3.225,18.875,28.815,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Acaridae",1,1,1,1,38.02,56.9,94.92,94.92,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Allothyridae",1,1,1,1,78,6.45,84.45,84.45,0,0
